,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,rio grande,BR,291.46,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
555,lensk,RU,273.12,light snow,60.7253,114.9278,ТинОрС
556,barceloneta,PR,297.73,light rain,18.4505,-66.5385,Manati World Point Inn
558,ardakan,IR,294.39,broken clouds,32.31,54.0175,Ardakan Hotel
561,maragogi,BR,297.49,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
562,beringovskiy,RU,273.22,snow,63.05,179.3167,Bredasdorp Country Manor
565,chepen,PE,291.59,overcast clouds,-7.2167,-79.45,Hospedaje Real
567,aksu,CN,282.04,clear sky,41.1231,80.2644,Pudong Holiday Hotel
568,kisac,RS,283.84,overcast clouds,45.3503,19.7286,Bredasdorp Country Manor
570,kidal,ML,292.4,broken clouds,18.4411,1.4078,Bredasdorp Country Manor
571,aswan,EG,290.76,clear sky,24.0934,32.907,Nuba Nile
572,yaan,NG,297.55,few clouds,7.3833,8.5667,Bredasdorp Country Manor
573,chuy,UY,287.71,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
575,lamar,US,275.57,clear sky,33.6668,-95.5836,Kings Inn Paris TX
576,westport,US,277.72,clear sky,41.1415,-73.3579,The Westport Inn
577,comodoro rivadavia,AR,290.07,clear sky,-45.8667,-67.5,Austral Hotel
579,aras,ES,284.68,few clouds,42.5617,-2.356,Jardines de Viana Spa
580,kyra,RU,275.58,clear sky,49.5776,111.9753,Bredasdorp Country Manor
582,ukiah,US,281.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
583,chandigarh,IN,296.69,clear sky,30.7343,76.7933,Hotel Oyster
586,goundam,ML,294.64,clear sky,16.4145,-3.6708,Bredasdorp Country Manor
588,barra do garcas,BR,294.79,clear sky,-15.89,-52.2567,Pousada Tropical
589,lata,PT,289.3,overcast clouds,40.1629,-8.3327,Terraços da Beira
591,gibsons,CA,280.4,overcast clouds,49.3997,-123.5027,Cedars Inn Hotel & Convention Center
593,diamantino,BR,294.38,clear sky,-14.4086,-56.4461,Hotel Delta
597,campbell river,CA,276.73,overcast clouds,50.0163,-125.2446,Anchor Inn & Suites
598,gawler,AU,297.09,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
600,brownwood,US,280.77,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
601,kayunga,UG,297.01,broken clouds,0.7025,32.8886,Flamingo Hotel
604,gainesville,US,284.27,clear sky,29.6516,-82.3248,Stayable Select
605,dunedin,NZ,286.37,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
606,slyudyanka,RU,277.13,scattered clouds,51.6594,103.7061,Delight
607,lazarevac,RS,282.06,broken clouds,44.3853,20.2557,Odmaralište Vidik
608,meadow lake,US,273.21,clear sky,34.8014,-106.5436,TumbleWeed RV Park
609,sungaipenuh,ID,296.4,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
612,orje,NO,273.91,overcast clouds,59.4802,11.6602,PARKING AND TOILET
614,arisvi,GR,289.94,broken clouds,41.0667,25.5833,Bredasdorp Country Manor
617,abnub,EG,288.27,overcast clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
618,altona,DE,277.12,overcast clouds,53.55,9.9333,Clipper Boardinghouse Hamburg-Holzhafen
619,zaraza,VE,294.99,overcast clouds,9.3503,-65.3245,Hotel Zaraza
620,houston,US,282.57,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
621,san lorenzo,PY,289.67,clear sky,-25.3333,-57.5333,Canarias Hotel
623,rancho palos verdes,US,291.7,clear sky,33.7445,-118.387,Terranea Resort
624,ustka,PL,274.62,clear sky,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
626,nantucket,US,281.21,scattered clouds,41.2835,-70.0995,Jared Coffin House
629,victor harbor,AU,290.37,clear sky,-35.5667,138.6167,McCracken Country Club
630,salmas,IR,282.48,few clouds,38.1973,44.7653,Ata Hotel
631,waipawa,NZ,286.69,light rain,-41.4122,175.5153,Tora Coastal Walk
632,coos bay,US,280.33,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
634,nola,IT,290.33,broken clouds,40.922,14.5329,Palazzo Giordano Bruno
635,besikduzu,TR,290.09,clear sky,41.052,39.2284,Belek Palas Hotel
637,tecoanapa,MX,297.64,overcast clouds,16.5167,-98.75,Hotel Manglares
638,dali,CN,291.25,clear sky,25.7,100.1833,Dali Travelling With Hostel
640,erenhot,CN,279.55,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
643,praia da vitoria,PT,289.29,scattered clouds,38.7333,-27.0667,Hotel Branco I
644,camacupa,AO,294.56,overcast clouds,-12.0167,17.4833,Bredasdorp Country Manor
645,ebeltoft,DK,280.16,broken clouds,56.1944,10.6821,Danhostel Ebeltoft
646,babu,CN,294.81,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
647,alora,ES,291.75,scattered clouds,36.8236,-4.7058,Apartments Vientos de Santa María
649,eureka,US,278.81,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
650,san buenaventura,MX,282.3,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
652,broome,US,274.92,overcast clouds,42.2506,-75.833,Chenango Valley State Park
653,burnie,AU,288.12,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
654,general roca,AR,291.27,few clouds,-39.0333,-67.5833,Hotel El Recreo
655,praya,CV,296.45,few clouds,14.9215,-23.5087,LT Aparthotel
656,ndola,ZM,297.64,scattered clouds,-12.9587,28.6366,Chabanga Lodge iSpot
657,kutum,SD,292.2,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
659,yinchuan,CN,285.58,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
660,sakakah,SA,289.91,light rain,29.9697,40.2064,Fakhamat Al Orjoana Apartment
661,santo antonio do ica,BR,295.36,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
